DNS Request,Name Server,Query Type
clientservices.googleapis.com,None,AAAA
clientservices.googleapis.com,None,A
clientservices.googleapis.com,None,HTTPS
clientservices.googleapis.com,None,AAAA
clientservices.googleapis.com,None,A
clientservices.googleapis.com,None,HTTPS
clientservices.googleapis.com,ns1.google.com,HTTPS
clientservices.googleapis.com,ns1.google.com,HTTPS
clientservices.googleapis.com,ns1.google.com,HTTPS
accounts.google.com,None,AAAA
accounts.google.com,None,A
accounts.google.com,None,HTTPS
accounts.google.com,None,AAAA
accounts.google.com,None,A
accounts.google.com,None,HTTPS
accounts.google.com,ns1.google.com,HTTPS
accounts.google.com,ns1.google.com,HTTPS
accounts.google.com,ns1.google.com,HTTPS
onedrive.live.com,None,AAAA
onedrive.live.com,None,A
onedrive.live.com,None,HTTPS
onedrive.live.com,None,AAAA
onedrive.live.com,None,A
onedrive.live.com,None,HTTPS
onedrive.live.com,None,A
onedrive.live.com,None,A
onedrive.live.com,ns1.spov-msedge.net,HTTPS
onedrive.live.com,ns1.spov-msedge.net,AAAA
onedrive.live.com,ns1.spov-msedge.net,AAAA
onedrive.live.com,ns1.spov-msedge.net,HTTPS
onedrive.live.com,ns1.spov-msedge.net,HTTPS
dual-spov-0006.spov-msedge.net,None,HTTPS
dual-spov-0006.spov-msedge.net,None,AAAA
dual-spov-0006.spov-msedge.net,None,AAAA
dual-spov-0006.spov-msedge.net,ns1.spov-msedge.net,HTTPS
res-1.cdn.office.net,None,AAAA
res-1.cdn.office.net,None,A
res-1.cdn.office.net,None,HTTPS
res-1.cdn.office.net,n0dscd.akamaiedge.net,HTTPS
res-1.cdn.office.net,n0dscd.akamaiedge.net,AAAA
res-1.cdn.office.net,None,A
res-1.cdn.office.net,None,A
res-1.cdn.office.net,None,AAAA
res-1.cdn.office.net,n0dscd.akamaiedge.net,AAAA
res-1.cdn.office.net,n0dscd.akamaiedge.net,A
res-1.cdn.office.net,n0dscd.akamaiedge.net,A
res-1.cdn.office.net,n0dscd.akamaiedge.net,A
res-1.cdn.office.net,n0dscd.akamaiedge.net,A
res-1.cdn.office.net,n0dscd.akamaiedge.net,A
e40491.dscd.akamaiedge.net,None,AAAA
e40491.dscd.akamaiedge.net,None,A
e40491.dscd.akamaiedge.net,None,HTTPS
e40491.dscd.akamaiedge.net,n0dscd.akamaiedge.net,HTTPS
e40491.dscd.akamaiedge.net,None,AAAA
e40491.dscd.akamaiedge.net,None,A
e40491.dscd.akamaiedge.net,None,A
translate.googleapis.com,None,AAAA
translate.googleapis.com,None,A
translate.googleapis.com,None,HTTPS
translate.googleapis.com,None,AAAA
translate.googleapis.com,None,A
translate.googleapis.com,None,HTTPS
translate.googleapis.com,ns1.google.com,HTTPS
translate.googleapis.com,ns1.google.com,HTTPS
translate.googleapis.com,ns1.google.com,HTTPS
spo.nel.measure.office.net,None,AAAA
spo.nel.measure.office.net,None,A
spo.nel.measure.office.net,None,HTTPS
spo.nel.measure.office.net,n0dscb.akamai.net,AAAA
spo.nel.measure.office.net,None,A
spo.nel.measure.office.net,None,HTTPS
spo.nel.measure.office.net,None,A
spo.nel.measure.office.net,None,AAAA
spo.nel.measure.office.net,n0dscb.akamai.net,AAAA
spo.nel.measure.office.net,n0dscb.akamai.net,HTTPS
spo.nel.measure.office.net,n0dscb.akamai.net,HTTPS
spo.nel.measure.office.net,n0dscb.akamai.net,HTTPS
spo.nel.measure.office.net,n0dscb.akamai.net,HTTPS
spo.nel.measure.office.net,None,A
spo.nel.measure.office.net,None,A
spo.nel.measure.office.net,None,AAAA
spo.nel.measure.office.net,None,A
spo.nel.measure.office.net,None,AAAA
spo.nel.measure.office.net,None,AAAA
spo.nel.measure.office.net,None,A
spo.nel.measure.office.net,None,AAAA
spo.nel.measure.office.net,None,A
spo.nel.measure.office.net,n0dscb.akamai.net,A
spo.nel.measure.office.net,n0dscb.akamai.net,A
spo.nel.measure.office.net,n0dscb.akamai.net,A
spo.nel.measure.office.net,n0dscb.akamai.net,A
spo.nel.measure.office.net,n0dscb.akamai.net,A
spo.nel.measure.office.net,None,AAAA
spo.nel.measure.office.net,None,AAAA
spo.nel.measure.office.net,None,AAAA
spo.nel.measure.office.net,None,AAAA
a1894.dscb.akamai.net,None,AAAA
a1894.dscb.akamai.net,None,A
a1894.dscb.akamai.net,None,HTTPS
a1894.dscb.akamai.net,None,AAAA
a1894.dscb.akamai.net,None,HTTPS
a1894.dscb.akamai.net,None,A
a1894.dscb.akamai.net,n0dscb.akamai.net,HTTPS
a1894.dscb.akamai.net,None,A
a1894.dscb.akamai.net,None,A
api.onedrive.com,None,AAAA
api.onedrive.com,None,A
api.onedrive.com,None,HTTPS
api.onedrive.com,None,AAAA
api.onedrive.com,None,A
api.onedrive.com,None,HTTPS
api.onedrive.com,ns1.l-msedge.net,HTTPS
api.onedrive.com,ns1.l-msedge.net,AAAA
api.onedrive.com,None,A
api.onedrive.com,None,A
api.onedrive.com,ns1.l-msedge.net,AAAA
api.onedrive.com,ns1.l-msedge.net,HTTPS
api.onedrive.com,ns1.l-msedge.net,HTTPS
l-0003.l-msedge.net,None,HTTPS
l-0003.l-msedge.net,None,AAAA
l-0003.l-msedge.net,None,AAAA
l-0003.l-msedge.net,ns1.l-msedge.net,HTTPS
login.live.com,None,AAAA
login.live.com,None,A
login.live.com,None,HTTPS
login.live.com,internal.akadns.net,A
login.live.com,internal.akadns.net,AAAA
login.live.com,internal.akadns.net,HTTPS
login.live.com,internal.akadns.net,HTTPS
www.tm.v4.a.prd.aadg.trafficmanager.net,None,AAAA
www.tm.v4.a.prd.aadg.trafficmanager.net,None,HTTPS
www.tm.v4.a.prd.aadg.trafficmanager.net,None,AAAA
www.tm.v4.a.prd.aadg.trafficmanager.net,tm1.dns-tm.com,HTTPS
skyapi.onedrive.live.com,None,AAAA
skyapi.onedrive.live.com,None,A
skyapi.onedrive.live.com,None,HTTPS
skyapi.onedrive.live.com,None,AAAA
skyapi.onedrive.live.com,None,A
skyapi.onedrive.live.com,None,HTTPS
skyapi.onedrive.live.com,None,A
skyapi.onedrive.live.com,None,A
skyapi.onedrive.live.com,ns1-34.azure-dns.com,HTTPS
skyapi.onedrive.live.com,ns1-34.azure-dns.com,HTTPS
skyapi.onedrive.live.com,None,AAAA
skyapi.onedrive.live.com,None,A
skyapi.onedrive.live.com,None,AAAA
skyapi.onedrive.live.com,ns1-34.azure-dns.com,A
skyapi.onedrive.live.com,None,AAAA
skyapi.onedrive.live.com,internal.akadns.net,AAAA
skyapi.onedrive.live.com,internal.akadns.net,AAAA
skyapi.onedrive.live.com,internal.akadns.net,AAAA
skyapi.onedrive.live.com,internal.akadns.net,AAAA
skyapi.onedrive.live.com,internal.akadns.net,AAAA
skyapi.onedrive.live.com,internal.akadns.net,AAAA
i-am4p-cor001.api.p001.1drv.com,None,HTTPS
i-am4p-cor001.api.p001.1drv.com,ns1-34.azure-dns.com,HTTPS
i-am4p-cor001.api.p001.1drv.com,None,A
i-am4p-cor001.api.p001.1drv.com,None,A
safebrowsing.googleapis.com,None,AAAA
safebrowsing.googleapis.com,None,A
safebrowsing.googleapis.com,None,HTTPS
safebrowsing.googleapis.com,None,AAAA
safebrowsing.googleapis.com,None,A
safebrowsing.googleapis.com,None,HTTPS
safebrowsing.googleapis.com,ns1.google.com,HTTPS
safebrowsing.googleapis.com,ns1.google.com,HTTPS
safebrowsing.googleapis.com,ns1.google.com,HTTPS
config.edge.skype.com,None,AAAA
config.edge.skype.com,None,A
config.edge.skype.com,None,HTTPS
config.edge.skype.com,None,AAAA
config.edge.skype.com,None,A
config.edge.skype.com,None,HTTPS
config.edge.skype.com,None,AAAA
config.edge.skype.com,None,A
config.edge.skype.com,None,HTTPS
config.edge.skype.com,None,A
config.edge.skype.com,None,AAAA
config.edge.skype.com,None,AAAA
config.edge.skype.com,None,HTTPS
config.edge.skype.com,None,A
config.edge.skype.com,None,AAAA
config.edge.skype.com,None,AAAA
config.edge.skype.com,None,AAAA
config.edge.skype.com,None,AAAA
config.edge.skype.com,None,AAAA
config.edge.skype.com,None,AAAA
config.edge.skype.com,ns1.l-msedge.net,HTTPS
config.edge.skype.com,ns1.l-msedge.net,HTTPS
config.edge.skype.com,ns1.l-msedge.net,HTTPS
config.edge.skype.com,ns1.l-msedge.net,HTTPS
config.edge.skype.com,ns1.l-msedge.net,HTTPS
config.edge.skype.com,None,A
config.edge.skype.com,None,A
config.edge.skype.com,None,A
config.edge.skype.com,None,AAAA
config.edge.skype.com,None,A
config.edge.skype.com,None,HTTPS
config.edge.skype.com,None,AAAA
config.edge.skype.com,None,HTTPS
config.edge.skype.com,None,AAAA
config.edge.skype.com,None,A
config.edge.skype.com,None,HTTPS
config.edge.skype.com,None,A
config.edge.skype.com,None,A
config.edge.skype.com,None,A
config.edge.skype.com,None,A
config.edge.skype.com,None,AAAA
config.edge.skype.com,None,A
config.edge.skype.com,None,A
config.edge.skype.com,None,AAAA
config.edge.skype.com,None,A
config.edge.skype.com,None,A
config.edge.skype.com,None,A
config.edge.skype.com,None,A
config.edge.skype.com,None,AAAA
config.edge.skype.com,None,AAAA
config.edge.skype.com,None,AAAA
config.edge.skype.com,None,AAAA
config.edge.skype.com,None,AAAA
config.edge.skype.com,None,AAAA
config.edge.skype.com,ns1.l-msedge.net,HTTPS
config.edge.skype.com,ns1.l-msedge.net,HTTPS
config.edge.skype.com,ns1.l-msedge.net,HTTPS
config.edge.skype.com,ns1.l-msedge.net,HTTPS
config.edge.skype.com,ns1.l-msedge.net,HTTPS
southcentralus1-0.pushnp.svc.ms,None,AAAA
southcentralus1-0.pushnp.svc.ms,None,A
southcentralus1-0.pushnp.svc.ms,None,HTTPS
southcentralus1-0.pushnp.svc.ms,None,AAAA
southcentralus1-0.pushnp.svc.ms,None,A
southcentralus1-0.pushnp.svc.ms,None,HTTPS
southcentralus1-0.pushnp.svc.ms,tm1.dns-tm.com,HTTPS
southcentralus1-0.pushnp.svc.ms,None,AAAA
southcentralus1-0.pushnp.svc.ms,None,AAAA
southcentralus1-0.pushnp.svc.ms,tm1.dns-tm.com,HTTPS
southcentralus1-0.pushnp.svc.ms,None,A
southcentralus1-0.pushnp.svc.ms,None,A
southcentralus1-0.pushnp.svc.ms,None,AAAA
southcentralus1-0.pushnp.svc.ms,None,AAAA
southcentralus1-0.pushnp.svc.ms,None,AAAA
southcentralus1-0.pushnp.svc.ms,None,AAAA
southcentralus1-0.pushnp.svc.ms,None,A
southcentralus1-0.pushnp.svc.ms,None,A
southcentralus1-0.pushnp.svc.ms,None,A
southcentralus1-0.pushnp.svc.ms,None,A
southcentralus1-0.pushnp.svc.ms,None,A
southcentralus1-0-pushnp.trafficmanager.net,None,HTTPS
southcentralus1-0-pushnp.trafficmanager.net,tm1.dns-tm.com,HTTPS
southcentralus1-0-pushnp.trafficmanager.net,None,A
southcentralus1-0-pushnp.trafficmanager.net,None,A
browser.events.data.microsoft.com,None,AAAA
browser.events.data.microsoft.com,None,A
browser.events.data.microsoft.com,None,HTTPS
browser.events.data.microsoft.com,None,AAAA
browser.events.data.microsoft.com,None,A
browser.events.data.microsoft.com,None,HTTPS
browser.events.data.microsoft.com,ns1-02.azure-dns.com,AAAA
browser.events.data.microsoft.com,None,A
browser.events.data.microsoft.com,None,A
browser.events.data.microsoft.com,ns1-02.azure-dns.com,AAAA
browser.events.data.microsoft.com,ns1-201.azure-dns.com,HTTPS
browser.events.data.microsoft.com,ns1-201.azure-dns.com,HTTPS
browser.events.data.microsoft.com,ns1-201.azure-dns.com,HTTPS
onedscolprdwus04.westus.cloudapp.azure.com,None,AAAA
onedscolprdwus04.westus.cloudapp.azure.com,None,AAAA
onedscolprduks03.uksouth.cloudapp.azure.com,None,HTTPS
onedscolprduks03.uksouth.cloudapp.azure.com,ns1-01.azure-dns.com,HTTPS
www.google.com,None,AAAA
www.google.com,None,A
www.google.com,None,HTTPS
www.google.com,None,AAAA
www.google.com,None,A
www.google.com,None,HTTPS
ecs.office.com,None,AAAA
ecs.office.com,None,A
ecs.office.com,None,HTTPS
ecs.office.com,None,AAAA
ecs.office.com,None,A
ecs.office.com,None,HTTPS
ecs.office.com,None,A
ecs.office.com,None,AAAA
ecs.office.com,None,AAAA
ecs.office.com,None,A
ecs.office.com,ns1.s-msedge.net,HTTPS
ecs.office.com,ns1.s-msedge.net,HTTPS
ecs.office.com,ns1.s-msedge.net,HTTPS
res.cdn.office.net,None,AAAA
res.cdn.office.net,None,A
res.cdn.office.net,None,HTTPS
