DNS Request,Name Server,Query Type
onedrive.live.com,None,AAAA
onedrive.live.com,None,A
onedrive.live.com,None,HTTPS
onedrive.live.com,None,AAAA
onedrive.live.com,None,A
onedrive.live.com,None,HTTPS
onedrive.live.com,None,A
onedrive.live.com,None,A
onedrive.live.com,ns1.spov-msedge.net,HTTPS
onedrive.live.com,ns1.spov-msedge.net,AAAA
onedrive.live.com,ns1.spov-msedge.net,AAAA
onedrive.live.com,ns1.spov-msedge.net,HTTPS
accounts.google.com,None,AAAA
accounts.google.com,None,A
accounts.google.com,None,HTTPS
accounts.google.com,None,AAAA
accounts.google.com,None,A
accounts.google.com,None,HTTPS
accounts.google.com,None,AAAA
accounts.google.com,ns1.google.com,HTTPS
accounts.google.com,None,A
accounts.google.com,None,AAAA
accounts.google.com,None,A
accounts.google.com,ns1.google.com,HTTPS
dual-spov-0006.spov-msedge.net,None,HTTPS
dual-spov-0006.spov-msedge.net,None,AAAA
dual-spov-0006.spov-msedge.net,None,AAAA
dual-spov-0006.spov-msedge.net,ns1.spov-msedge.net,HTTPS
res-1.cdn.office.net,None,AAAA
res-1.cdn.office.net,None,A
res-1.cdn.office.net,None,HTTPS
res-1.cdn.office.net,n0dscd.akamaiedge.net,AAAA
res-1.cdn.office.net,n0dscd.akamaiedge.net,A
res-1.cdn.office.net,n0dscd.akamaiedge.net,HTTPS
e40491.dscd.akamaiedge.net,None,AAAA
e40491.dscd.akamaiedge.net,None,A
e40491.dscd.akamaiedge.net,None,HTTPS
e40491.dscd.akamaiedge.net,None,AAAA
e40491.dscd.akamaiedge.net,None,A
e40491.dscd.akamaiedge.net,n0dscd.akamaiedge.net,HTTPS
api.onedrive.com,None,AAAA
api.onedrive.com,None,A
api.onedrive.com,None,HTTPS
api.onedrive.com,None,A
api.onedrive.com,None,AAAA
api.onedrive.com,ns1.l-msedge.net,HTTPS
api.onedrive.com,ns1.l-msedge.net,HTTPS
l-0003.l-msedge.net,None,AAAA
l-0003.l-msedge.net,None,HTTPS
l-0003.l-msedge.net,None,AAAA
l-0003.l-msedge.net,ns1.l-msedge.net,HTTPS
spo.nel.measure.office.net,None,AAAA
spo.nel.measure.office.net,None,A
spo.nel.measure.office.net,None,HTTPS
spo.nel.measure.office.net,None,AAAA
spo.nel.measure.office.net,None,A
spo.nel.measure.office.net,None,HTTPS
spo.nel.measure.office.net,None,AAAA
spo.nel.measure.office.net,None,AAAA
spo.nel.measure.office.net,n0dscb.akamai.net,HTTPS
spo.nel.measure.office.net,None,A
spo.nel.measure.office.net,None,A
spo.nel.measure.office.net,n0dscb.akamai.net,HTTPS
spo.nel.measure.office.net,n0dscb.akamai.net,HTTPS
browser.events.data.microsoft.com,None,AAAA
browser.events.data.microsoft.com,None,A
browser.events.data.microsoft.com,None,HTTPS
browser.events.data.microsoft.com,ns1-201.azure-dns.com,AAAA
browser.events.data.microsoft.com,ns1-201.azure-dns.com,A
browser.events.data.microsoft.com,ns1-201.azure-dns.com,HTTPS
onedscolprdeus11.eastus.cloudapp.azure.com,None,AAAA
onedscolprdeus11.eastus.cloudapp.azure.com,None,A
onedscolprdeus11.eastus.cloudapp.azure.com,None,HTTPS
onedscolprdeus11.eastus.cloudapp.azure.com,ns1-201.azure-dns.com,AAAA
onedscolprdeus11.eastus.cloudapp.azure.com,None,A
onedscolprdeus11.eastus.cloudapp.azure.com,ns1-201.azure-dns.com,HTTPS
a1894.dscb.akamai.net,None,HTTPS
a1894.dscb.akamai.net,n0dscb.akamai.net,HTTPS
static2.sharepointonline.com,None,AAAA
static2.sharepointonline.com,None,A
static2.sharepointonline.com,None,HTTPS
static2.sharepointonline.com,None,AAAA
static2.sharepointonline.com,None,A
static2.sharepointonline.com,None,HTTPS
static2.sharepointonline.com,None,AAAA
static2.sharepointonline.com,None,A
static2.sharepointonline.com,n0dscg.akamaiedge.net,HTTPS
static2.sharepointonline.com,None,AAAA
static2.sharepointonline.com,None,A
static2.sharepointonline.com,n0dscg.akamaiedge.net,HTTPS
translate.googleapis.com,None,AAAA
translate.googleapis.com,None,A
translate.googleapis.com,None,HTTPS
translate.googleapis.com,None,AAAA
translate.googleapis.com,None,A
translate.googleapis.com,None,HTTPS
translate.googleapis.com,None,AAAA
translate.googleapis.com,None,AAAA
translate.googleapis.com,ns1.google.com,HTTPS
translate.googleapis.com,None,A
translate.googleapis.com,ns1.google.com,HTTPS
translate.googleapis.com,None,A
res-2.cdn.office.net,None,AAAA
res-2.cdn.office.net,None,A
res-2.cdn.office.net,None,HTTPS
res-2.cdn.office.net,None,AAAA
res-2.cdn.office.net,ns1.sigmacdn.net,HTTPS
res-2.cdn.office.net,None,A
sni1gl.wpc.sigmacdn.net,None,A
sni1gl.wpc.sigmacdn.net,None,HTTPS
sni1gl.wpc.sigmacdn.net,None,A
sni1gl.wpc.sigmacdn.net,ns1.sigmacdn.net,HTTPS
sni1gl.wpc.sigmacdn.net,None,HTTPS
sni1gl.wpc.sigmacdn.net,ns1.sigmacdn.net,HTTPS
shellprod.msocdn.com,None,AAAA
shellprod.msocdn.com,None,A
shellprod.msocdn.com,None,HTTPS
shellprod.msocdn.com,n0dspg.akamaiedge.net,HTTPS
shellprod.msocdn.com,n0dspg.akamaiedge.net,A
shellprod.msocdn.com,n0dspg.akamaiedge.net,AAAA
e14579.dspg.akamaiedge.net,None,AAAA
e14579.dspg.akamaiedge.net,None,A
e14579.dspg.akamaiedge.net,None,HTTPS
e14579.dspg.akamaiedge.net,n0dspg.akamaiedge.net,HTTPS
e14579.dspg.akamaiedge.net,None,A
e14579.dspg.akamaiedge.net,None,AAAA
e13287.dscg.akamaiedge.net,None,HTTPS
e13287.dscg.akamaiedge.net,n0dscg.akamaiedge.net,HTTPS
login.live.com,None,AAAA
login.live.com,None,A
login.live.com,None,HTTPS
login.live.com,internal.akadns.net,A
login.live.com,internal.akadns.net,HTTPS
login.live.com,internal.akadns.net,AAAA
www.tm.v4.a.prd.aadg.trafficmanager.net,None,AAAA
www.tm.v4.a.prd.aadg.trafficmanager.net,None,HTTPS
www.tm.v4.a.prd.aadg.trafficmanager.net,tm1.dns-tm.com,HTTPS
www.tm.v4.a.prd.aadg.trafficmanager.net,tm1.dns-tm.com,AAAA
skyapi.onedrive.live.com,None,AAAA
skyapi.onedrive.live.com,None,A
skyapi.onedrive.live.com,None,HTTPS
skyapi.onedrive.live.com,None,AAAA
skyapi.onedrive.live.com,None,A
skyapi.onedrive.live.com,None,HTTPS
skyapi.onedrive.live.com,None,A
skyapi.onedrive.live.com,None,A
skyapi.onedrive.live.com,ns1-34.azure-dns.com,AAAA
skyapi.onedrive.live.com,ns1-34.azure-dns.com,HTTPS
skyapi.onedrive.live.com,ns1-34.azure-dns.com,AAAA
skyapi.onedrive.live.com,ns1-34.azure-dns.com,HTTPS
i-dub07p-cor001.api.p001.1drv.com,None,AAAA
i-dub07p-cor001.api.p001.1drv.com,None,HTTPS
i-dub07p-cor001.api.p001.1drv.com,None,AAAA
i-dub07p-cor001.api.p001.1drv.com,ns1-34.azure-dns.com,HTTPS
ecs.office.com,None,AAAA
ecs.office.com,None,A
ecs.office.com,None,HTTPS
ecs.office.com,ns1.s-msedge.net,AAAA
ecs.office.com,ns1.s-msedge.net,A
ecs.office.com,ns1.s-msedge.net,HTTPS
ecs.office.com,ns1.s-msedge.net,HTTPS
s-0005.s-msedge.net,None,HTTPS
s-0005.s-msedge.net,ns1.s-msedge.net,HTTPS
storage.live.com,None,AAAA
storage.live.com,None,A
storage.live.com,None,HTTPS
storage.live.com,None,AAAA
storage.live.com,None,A
storage.live.com,None,HTTPS
storage.live.com,None,A
