DNS Request,Name Server,Query Type
onedrive.live.com,None,A
onedrive.live.com,None,AAAA
onedrive.live.com,None,A
onedrive.live.com,None,AAAA
onedrive.live.com,None,A
onedrive.live.com,None,A
onedrive.live.com,ns1.spov-msedge.net,AAAA
onedrive.live.com,ns1.spov-msedge.net,AAAA
onedrive.live.com,None,A
onedrive.live.com,None,AAAA
onedrive.live.com,ns1.spov-msedge.net,A
onedrive.live.com,ns1.spov-msedge.net,AAAA
onedrive.live.com,None,A
onedrive.live.com,None,AAAA
onedrive.live.com,ns1.spov-msedge.net,A
onedrive.live.com,ns1.spov-msedge.net,AAAA
onedrive.live.com,None,A
onedrive.live.com,None,AAAA
onedrive.live.com,ns1.spov-msedge.net,A
onedrive.live.com,None,A
onedrive.live.com,None,A
onedrive.live.com,ns1.spov-msedge.net,AAAA
onedrive.live.com,None,AAAA
onedrive.live.com,None,AAAA
onedrive.live.com,None,A
onedrive.live.com,None,A
onedrive.live.com,ns1.spov-msedge.net,AAAA
onedrive.live.com,ns1.spov-msedge.net,AAAA
onedrive.live.com,ns1.spov-msedge.net,AAAA
detectportal.firefox.com,None,A
detectportal.firefox.com,None,AAAA
detectportal.firefox.com,None,A
detectportal.firefox.com,None,AAAA
detectportal.firefox.com,None,A
detectportal.firefox.com,None,AAAA
detectportal.firefox.com,None,AAAA
detectportal.firefox.com,None,A
detectportal.firefox.com,None,A
detectportal.firefox.com,None,AAAA
detectportal.firefox.com,None,A
detectportal.firefox.com,None,AAAA
detectportal.firefox.com,None,A
detectportal.firefox.com,None,AAAA
detectportal.firefox.com,None,A
detectportal.firefox.com,None,AAAA
detectportal.firefox.com,None,A
detectportal.firefox.com,None,A
detectportal.firefox.com,None,AAAA
detectportal.firefox.com,None,A
detectportal.firefox.com,None,A
detectportal.firefox.com,None,AAAA
dual-spov-0006.spov-msedge.net,None,AAAA
dual-spov-0006.spov-msedge.net,None,AAAA
dual-spov-0006.spov-msedge.net,None,AAAA
dual-spov-0006.spov-msedge.net,ns1.spov-msedge.net,AAAA
dual-spov-0006.spov-msedge.net,None,AAAA
dual-spov-0006.spov-msedge.net,None,AAAA
dual-spov-0006.spov-msedge.net,None,AAAA
dual-spov-0006.spov-msedge.net,None,AAAA
dual-spov-0006.spov-msedge.net,None,AAAA
dual-spov-0006.spov-msedge.net,None,AAAA
dual-spov-0006.spov-msedge.net,None,AAAA
contile.services.mozilla.com,None,A
contile.services.mozilla.com,None,A
contile.services.mozilla.com,None,AAAA
contile.services.mozilla.com,None,AAAA
contile.services.mozilla.com,None,A
contile.services.mozilla.com,None,A
contile.services.mozilla.com,ns-679.awsdns-20.net,AAAA
contile.services.mozilla.com,ns-679.awsdns-20.net,AAAA
example.org,None,A
example.org,None,A
example.org,None,AAAA
example.org,None,A
example.org,None,AAAA
example.org,None,A
example.org,None,A
example.org,None,AAAA
example.org,None,AAAA
example.org,None,A
example.org,None,AAAA
example.org,None,A
example.org,None,A
