DNS Request,Name Server,Query Type
autoupdate.geo.opera.com,None,AAAA
autoupdate.geo.opera.com,None,A
autoupdate.geo.opera.com,None,HTTPS
autoupdate.geo.opera.com,None,AAAA
autoupdate.geo.opera.com,None,A
autoupdate.geo.opera.com,None,HTTPS
autoupdate.geo.opera.com,None,A
autoupdate.geo.opera.com,None,AAAA
autoupdate.geo.opera.com,None,A
autoupdate.geo.opera.com,None,AAAA
autoupdate.geo.opera.com,nic1.opera.com,HTTPS
autoupdate.geo.opera.com,nic1.opera.com,HTTPS
autoupdate.geo.opera.com,nic1.opera.com,HTTPS
autoupdate.geo.opera.com,None,A
autoupdate.geo.opera.com,None,AAAA
autoupdate.geo.opera.com,nic1.opera.com,A
autoupdate.geo.opera.com,nic1.opera.com,AAAA
autoupdate.geo.opera.com,None,A
autoupdate.geo.opera.com,None,AAAA
autoupdate.geo.opera.com,nic1.opera.com,A
autoupdate.geo.opera.com,nic1.opera.com,AAAA
autoupdate.geo.opera.com,None,A
autoupdate.geo.opera.com,None,AAAA
autoupdate.geo.opera.com,nic1.opera.com,A
autoupdate.geo.opera.com,nic1.opera.com,AAAA
speeddials.opera.com,None,AAAA
speeddials.opera.com,None,AAAA
speeddials.opera.com,None,A
speeddials.opera.com,None,A
speeddials.opera.com,None,HTTPS
speeddials.opera.com,None,HTTPS
speeddials.opera.com,nic1.opera.com,HTTPS
speeddials.opera.com,None,A
speeddials.opera.com,None,AAAA
speeddials.opera.com,None,A
speeddials.opera.com,None,AAAA
speeddials.opera.com,nic1.opera.com,HTTPS
speeddials.opera.com,nic1.opera.com,HTTPS
speeddials.opera.com,None,AAAA
speeddials.opera.com,None,A
speeddials.opera.com,None,HTTPS
speeddials.opera.com,None,AAAA
speeddials.opera.com,None,A
speeddials.opera.com,nic1.opera.com,HTTPS
eu-autoupdate.opera.com,None,HTTPS
eu-autoupdate.opera.com,nic1.opera.com,HTTPS
ams-speeddials.opera.com,None,HTTPS
ams-speeddials.opera.com,nic1.opera.com,HTTPS
ams-speeddials.opera.com,None,A
ams-speeddials.opera.com,None,HTTPS
ams-speeddials.opera.com,None,A
ams-speeddials.opera.com,nic1.opera.com,HTTPS
sitecheck.opera.com,None,AAAA
sitecheck.opera.com,None,A
sitecheck.opera.com,None,HTTPS
sitecheck.opera.com,None,AAAA
sitecheck.opera.com,None,A
sitecheck.opera.com,None,HTTPS
sitecheck.opera.com,None,A
sitecheck.opera.com,nic1.opera.com,HTTPS
sitecheck.opera.com,None,AAAA
sitecheck.opera.com,None,A
sitecheck.opera.com,None,AAAA
sitecheck.opera.com,nic1.opera.com,HTTPS
sitecheck.opera.com,nic1.opera.com,HTTPS
onedrive.live.com,None,AAAA
onedrive.live.com,None,A
onedrive.live.com,None,HTTPS
onedrive.live.com,None,AAAA
onedrive.live.com,None,A
onedrive.live.com,None,HTTPS
onedrive.live.com,ns1.spov-msedge.net,AAAA
onedrive.live.com,ns1.spov-msedge.net,HTTPS
onedrive.live.com,None,A
onedrive.live.com,None,A
onedrive.live.com,ns1.spov-msedge.net,AAAA
onedrive.live.com,ns1.spov-msedge.net,HTTPS
am4-sitecheck.opera.com,None,HTTPS
am4-sitecheck.opera.com,nic1.opera.com,HTTPS
dual-spov-0006.spov-msedge.net,None,AAAA
dual-spov-0006.spov-msedge.net,None,HTTPS
dual-spov-0006.spov-msedge.net,ns1.spov-msedge.net,AAAA
dual-spov-0006.spov-msedge.net,ns1.spov-msedge.net,HTTPS
sd-images.operacdn.com,None,AAAA
sd-images.operacdn.com,None,AAAA
sd-images.operacdn.com,None,A
sd-images.operacdn.com,None,A
sd-images.operacdn.com,None,HTTPS
sd-images.operacdn.com,None,HTTPS
sd-images.operacdn.com,n0b.akamaiedge.net,AAAA
sd-images.operacdn.com,n0b.akamaiedge.net,HTTPS
sd-images.operacdn.com,None,A
sd-images.operacdn.com,None,A
sd-images.operacdn.com,n0b.akamaiedge.net,AAAA
sd-images.operacdn.com,n0b.akamaiedge.net,HTTPS
sd-images.operacdn.com,n0b.akamaiedge.net,HTTPS
e125010.b.akamaiedge.net,None,AAAA
e125010.b.akamaiedge.net,None,HTTPS
e125010.b.akamaiedge.net,None,AAAA
e125010.b.akamaiedge.net,n0b.akamaiedge.net,HTTPS
www.vandenborre.be,None,AAAA
www.vandenborre.be,None,AAAA
www.vandenborre.be,None,A
www.vandenborre.be,None,A
www.vandenborre.be,None,HTTPS
www.vandenborre.be,None,HTTPS
www.vandenborre.be,ns1.skynet.be,AAAA
www.vandenborre.be,ns1.skynet.be,AAAA
www.vandenborre.be,None,A
www.vandenborre.be,ns1.skynet.be,HTTPS
www.vandenborre.be,None,A
www.vandenborre.be,ns1.skynet.be,HTTPS
sd-suggestions.operacdn.com,None,AAAA
sd-suggestions.operacdn.com,None,AAAA
sd-suggestions.operacdn.com,None,A
sd-suggestions.operacdn.com,None,A
sd-suggestions.operacdn.com,None,HTTPS
sd-suggestions.operacdn.com,None,HTTPS
sd-suggestions.operacdn.com,None,AAAA
sd-suggestions.operacdn.com,None,AAAA
sd-suggestions.operacdn.com,n0dscb.akamaiedge.net,HTTPS
sd-suggestions.operacdn.com,None,A
sd-suggestions.operacdn.com,None,A
sd-suggestions.operacdn.com,n0dscb.akamaiedge.net,HTTPS
sd-suggestions.operacdn.com,n0dscb.akamaiedge.net,HTTPS
e125010.dscb.akamaiedge.net,None,HTTPS
e125010.dscb.akamaiedge.net,n0dscb.akamaiedge.net,HTTPS
res-1.cdn.office.net,None,AAAA
res-1.cdn.office.net,None,AAAA
res-1.cdn.office.net,None,A
res-1.cdn.office.net,None,A
res-1.cdn.office.net,None,HTTPS
res-1.cdn.office.net,None,HTTPS
res-1.cdn.office.net,None,AAAA
res-1.cdn.office.net,None,AAAA
res-1.cdn.office.net,n0dscd.akamaiedge.net,HTTPS
res-1.cdn.office.net,None,A
res-1.cdn.office.net,None,A
res-1.cdn.office.net,n0dscd.akamaiedge.net,HTTPS
res-1.cdn.office.net,n0dscd.akamaiedge.net,HTTPS
e40491.dscd.akamaiedge.net,None,HTTPS
e40491.dscd.akamaiedge.net,n0dscd.akamaiedge.net,HTTPS
api.onedrive.com,None,AAAA
api.onedrive.com,None,AAAA
api.onedrive.com,None,A
api.onedrive.com,None,A
api.onedrive.com,None,HTTPS
api.onedrive.com,None,HTTPS
api.onedrive.com,ns1.l-msedge.net,AAAA
api.onedrive.com,None,A
api.onedrive.com,ns1.l-msedge.net,HTTPS
api.onedrive.com,None,A
api.onedrive.com,ns1.l-msedge.net,AAAA
api.onedrive.com,ns1.l-msedge.net,HTTPS
l-0003.l-msedge.net,None,AAAA
l-0003.l-msedge.net,None,HTTPS
l-0003.l-msedge.net,ns1.l-msedge.net,AAAA
l-0003.l-msedge.net,ns1.l-msedge.net,HTTPS
weather.opera-api2.com,None,AAAA
weather.opera-api2.com,None,A
weather.opera-api2.com,None,HTTPS
weather.opera-api2.com,None,AAAA
weather.opera-api2.com,None,A
weather.opera-api2.com,None,HTTPS
weather.opera-api2.com,None,AAAA
weather.opera-api2.com,None,AAAA
weather.opera-api2.com,None,A
weather.opera-api2.com,None,A
weather.opera-api2.com,nic1.opera.com,HTTPS
weather.opera-api2.com,nic1.opera.com,HTTPS
weather.opera-api2.com,nic1.opera.com,HTTPS
ams-weather.opera-api2.com,None,HTTPS
ams-weather.opera-api2.com,nic1.opera.com,HTTPS
skyapi.onedrive.live.com,None,AAAA
skyapi.onedrive.live.com,None,A
skyapi.onedrive.live.com,None,HTTPS
skyapi.onedrive.live.com,None,AAAA
skyapi.onedrive.live.com,None,A
skyapi.onedrive.live.com,None,HTTPS
skyapi.onedrive.live.com,internal.akadns.net,AAAA
skyapi.onedrive.live.com,None,A
skyapi.onedrive.live.com,ns1-34.azure-dns.com,HTTPS
skyapi.onedrive.live.com,None,A
skyapi.onedrive.live.com,internal.akadns.net,AAAA
skyapi.onedrive.live.com,ns1-34.azure-dns.com,HTTPS
skyapi.onedrive.live.com,ns1-34.azure-dns.com,HTTPS
common-emea.onedrive.akadns.net,None,AAAA
common-emea.onedrive.akadns.net,None,AAAA
common-emea.onedrive.akadns.net,None,AAAA
common-emea.onedrive.akadns.net,None,HTTPS
common-emea.onedrive.akadns.net,None,AAAA
common-emea.onedrive.akadns.net,internal.akadns.net,HTTPS
i-dub01p-cor001.api.p001.1drv.com,None,HTTPS
i-dub01p-cor001.api.p001.1drv.com,ns1-34.azure-dns.com,HTTPS
ecs.office.com,None,AAAA
ecs.office.com,None,A
ecs.office.com,None,HTTPS
ecs.office.com,None,AAAA
ecs.office.com,None,A
ecs.office.com,None,HTTPS
ecs.office.com,None,A
ecs.office.com,ns1.s-msedge.net,HTTPS
ecs.office.com,None,A
ecs.office.com,None,AAAA
ecs.office.com,None,AAAA
ecs.office.com,ns1.s-msedge.net,HTTPS
content.lifecycle.office.net,None,AAAA
content.lifecycle.office.net,None,A
content.lifecycle.office.net,None,HTTPS
content.lifecycle.office.net,ns1.l-msedge.net,AAAA
content.lifecycle.office.net,ns1.l-msedge.net,A
content.lifecycle.office.net,ns1.l-msedge.net,HTTPS
l-0007.l-msedge.net,None,A
l-0007.l-msedge.net,None,HTTPS
l-0007.l-msedge.net,None,A
l-0007.l-msedge.net,ns1.l-msedge.net,HTTPS
l-0007.l-msedge.net,None,HTTPS
l-0007.l-msedge.net,ns1.l-msedge.net,HTTPS
s-0005.s-msedge.net,None,HTTPS
s-0005.s-msedge.net,ns1.s-msedge.net,HTTPS
southcentralus1-0.pushnp.svc.ms,None,AAAA
southcentralus1-0.pushnp.svc.ms,None,A
southcentralus1-0.pushnp.svc.ms,None,HTTPS
southcentralus1-0.pushnp.svc.ms,None,AAAA
southcentralus1-0.pushnp.svc.ms,None,A
southcentralus1-0.pushnp.svc.ms,None,HTTPS
southcentralus1-0.pushnp.svc.ms,None,AAAA
southcentralus1-0.pushnp.svc.ms,None,AAAA
southcentralus1-0.pushnp.svc.ms,tm1.dns-tm.com,HTTPS
southcentralus1-0.pushnp.svc.ms,None,A
southcentralus1-0.pushnp.svc.ms,None,A
southcentralus1-0.pushnp.svc.ms,tm1.dns-tm.com,HTTPS
southcentralus1-0.pushnp.svc.ms,tm1.dns-tm.com,HTTPS
res.cdn.office.net,None,AAAA
res.cdn.office.net,None,A
res.cdn.office.net,None,HTTPS
res.cdn.office.net,None,AAAA
res.cdn.office.net,None,A
res.cdn.office.net,None,HTTPS
res.cdn.office.net,None,AAAA
res.cdn.office.net,None,AAAA
res.cdn.office.net,None,A
res.cdn.office.net,None,A
res.cdn.office.net,n0dscg.akamaiedge.net,HTTPS
res.cdn.office.net,n0dscg.akamaiedge.net,HTTPS
res.cdn.office.net,n0dscg.akamaiedge.net,HTTPS
