DNS Request,Name Server,Query Type
downloads.vivaldi.com,None,AAAA
downloads.vivaldi.com,None,A
downloads.vivaldi.com,None,HTTPS
downloads.vivaldi.com,None,AAAA
downloads.vivaldi.com,None,A
downloads.vivaldi.com,None,HTTPS
downloads.vivaldi.com,None,A
downloads.vivaldi.com,None,A
downloads.vivaldi.com,ns1.fastly.net,HTTPS
downloads.vivaldi.com,None,AAAA
downloads.vivaldi.com,None,AAAA
downloads.vivaldi.com,ns1.fastly.net,HTTPS
downloads.vivaldi.com,ns1.fastly.net,HTTPS
downloads.vivaldi.com,None,AAAA
downloads.vivaldi.com,None,A
downloads.vivaldi.com,None,HTTPS
downloads.vivaldi.com,None,AAAA
downloads.vivaldi.com,None,A
downloads.vivaldi.com,ns1.fastly.net,HTTPS
downloads.vivaldi.com,ns1.fastly.net,HTTPS
vivaldi.map.fastly.net,None,HTTPS
vivaldi.map.fastly.net,ns1.fastly.net,HTTPS
vivaldi.map.fastly.net,None,HTTPS
vivaldi.map.fastly.net,ns1.fastly.net,HTTPS
mimir2.vivaldi.com,None,AAAA
mimir2.vivaldi.com,None,A
mimir2.vivaldi.com,None,HTTPS
mimir2.vivaldi.com,None,AAAA
mimir2.vivaldi.com,None,A
mimir2.vivaldi.com,None,HTTPS
mimir2.vivaldi.com,carl.ns.cloudflare.com,AAAA
mimir2.vivaldi.com,None,A
mimir2.vivaldi.com,carl.ns.cloudflare.com,AAAA
mimir2.vivaldi.com,None,A
mimir2.vivaldi.com,carl.ns.cloudflare.com,HTTPS
mimir2.vivaldi.com,carl.ns.cloudflare.com,HTTPS
redirector.gvt1.com,None,AAAA
redirector.gvt1.com,None,A
redirector.gvt1.com,None,HTTPS
redirector.gvt1.com,None,AAAA
redirector.gvt1.com,None,A
redirector.gvt1.com,None,HTTPS
redirector.gvt1.com,ns1.google.com,HTTPS
redirector.gvt1.com,None,AAAA
redirector.gvt1.com,None,A
redirector.gvt1.com,None,A
redirector.gvt1.com,ns1.google.com,HTTPS
redirector.gvt1.com,None,AAAA
r3.o.lencr.org,None,AAAA
r3.o.lencr.org,None,A
r3.o.lencr.org,None,HTTPS
r3.o.lencr.org,None,AAAA
r3.o.lencr.org,None,A
r3.o.lencr.org,None,HTTPS
r3.o.lencr.org,n0dscq.akamai.net,HTTPS
r3.o.lencr.org,None,AAAA
r3.o.lencr.org,None,A
r3.o.lencr.org,None,AAAA
r3.o.lencr.org,None,A
r3.o.lencr.org,n0dscq.akamai.net,HTTPS
r3.o.lencr.org,n0dscq.akamai.net,HTTPS
ocsp.pki.goog,None,AAAA
ocsp.pki.goog,None,A
ocsp.pki.goog,None,HTTPS
ocsp.pki.goog,None,AAAA
ocsp.pki.goog,None,A
ocsp.pki.goog,ns1.google.com,HTTPS
pki-goog.l.google.com,None,A
pki-goog.l.google.com,None,HTTPS
pki-goog.l.google.com,None,A
pki-goog.l.google.com,ns1.google.com,HTTPS
a1887.dscq.akamai.net,None,HTTPS
