DNS Request,Name Server,Query Type
clientservices.googleapis.com,None,AAAA
clientservices.googleapis.com,None,AAAA
clientservices.googleapis.com,None,A
clientservices.googleapis.com,None,A
clientservices.googleapis.com,None,HTTPS
clientservices.googleapis.com,None,HTTPS
clientservices.googleapis.com,None,AAAA
clientservices.googleapis.com,ns1.google.com,HTTPS
clientservices.googleapis.com,ns1.google.com,HTTPS
clientservices.googleapis.com,None,AAAA
accounts.google.com,None,AAAA
accounts.google.com,None,A
accounts.google.com,None,HTTPS
accounts.google.com,None,AAAA
accounts.google.com,None,A
accounts.google.com,None,HTTPS
accounts.google.com,None,A
accounts.google.com,None,A
accounts.google.com,ns1.google.com,HTTPS
accounts.google.com,ns1.google.com,HTTPS
accounts.google.com,ns1.google.com,HTTPS
onedrive.live.com,None,AAAA
onedrive.live.com,None,AAAA
onedrive.live.com,None,A
onedrive.live.com,None,A
onedrive.live.com,None,HTTPS
onedrive.live.com,None,HTTPS
onedrive.live.com,ns1.spov-msedge.net,HTTPS
onedrive.live.com,None,A
onedrive.live.com,ns1.spov-msedge.net,AAAA
onedrive.live.com,None,A
onedrive.live.com,ns1.spov-msedge.net,HTTPS
onedrive.live.com,ns1.spov-msedge.net,AAAA
dual-spov-0006.spov-msedge.net,None,AAAA
dual-spov-0006.spov-msedge.net,None,HTTPS
dual-spov-0006.spov-msedge.net,ns1.spov-msedge.net,HTTPS
dual-spov-0006.spov-msedge.net,None,AAAA
res-1.cdn.office.net,None,AAAA
res-1.cdn.office.net,None,A
res-1.cdn.office.net,None,HTTPS
res-1.cdn.office.net,None,AAAA
res-1.cdn.office.net,None,A
res-1.cdn.office.net,None,HTTPS
res-1.cdn.office.net,None,AAAA
res-1.cdn.office.net,None,A
res-1.cdn.office.net,n0dscd.akamaiedge.net,HTTPS
res-1.cdn.office.net,None,AAAA
res-1.cdn.office.net,None,A
res-1.cdn.office.net,n0dscd.akamaiedge.net,HTTPS
res-1.cdn.office.net,n0dscd.akamaiedge.net,HTTPS
e40491.dscd.akamaiedge.net,None,HTTPS
e40491.dscd.akamaiedge.net,n0dscd.akamaiedge.net,HTTPS
api.onedrive.com,None,AAAA
api.onedrive.com,None,A
api.onedrive.com,None,HTTPS
api.onedrive.com,None,AAAA
api.onedrive.com,None,A
api.onedrive.com,None,HTTPS
api.onedrive.com,ns1.l-msedge.net,AAAA
api.onedrive.com,None,A
api.onedrive.com,ns1.l-msedge.net,HTTPS
api.onedrive.com,None,A
api.onedrive.com,ns1.l-msedge.net,AAAA
api.onedrive.com,ns1.l-msedge.net,HTTPS
l-0003.l-msedge.net,None,AAAA
l-0003.l-msedge.net,None,HTTPS
l-0003.l-msedge.net,None,AAAA
l-0003.l-msedge.net,ns1.l-msedge.net,HTTPS
l-0003.l-msedge.net,None,AAAA
l-0003.l-msedge.net,None,AAAA
l-0003.l-msedge.net,None,HTTPS
l-0003.l-msedge.net,ns1.l-msedge.net,HTTPS
shellprod.msocdn.com,None,AAAA
shellprod.msocdn.com,None,A
shellprod.msocdn.com,None,HTTPS
shellprod.msocdn.com,None,AAAA
