DNS Request,Name Server,Query Type
clientservices.googleapis.com,None,A
clientservices.googleapis.com,None,HTTPS
clientservices.googleapis.com,None,A
clientservices.googleapis.com,None,HTTPS
clientservices.googleapis.com,ns1.google.com,HTTPS
clientservices.googleapis.com,None,A
clientservices.googleapis.com,ns1.google.com,HTTPS
clientservices.googleapis.com,None,A
accounts.google.com,None,A
accounts.google.com,None,HTTPS
accounts.google.com,None,A
accounts.google.com,None,HTTPS
accounts.google.com,ns1.google.com,HTTPS
accounts.google.com,None,A
accounts.google.com,ns1.google.com,HTTPS
accounts.google.com,None,A
onedrive.live.com,None,A
onedrive.live.com,None,HTTPS
onedrive.live.com,None,A
onedrive.live.com,None,HTTPS
onedrive.live.com,None,A
onedrive.live.com,ns1.spov-msedge.net,HTTPS
onedrive.live.com,None,A
onedrive.live.com,ns1.spov-msedge.net,HTTPS
onedrive.live.com,ns1.spov-msedge.net,HTTPS
onedrive.live.com,None,A
onedrive.live.com,None,HTTPS
onedrive.live.com,None,A
onedrive.live.com,ns1.spov-msedge.net,HTTPS
onedrive.live.com,ns1.spov-msedge.net,HTTPS
onedrive.live.com,None,A
onedrive.live.com,None,HTTPS
onedrive.live.com,None,A
onedrive.live.com,ns1.spov-msedge.net,HTTPS
onedrive.live.com,ns1.spov-msedge.net,HTTPS
onedrive.live.com,None,A
onedrive.live.com,None,HTTPS
onedrive.live.com,None,A
onedrive.live.com,ns1.spov-msedge.net,HTTPS
onedrive.live.com,ns1.spov-msedge.net,HTTPS
onedrive.live.com,None,A
onedrive.live.com,None,HTTPS
onedrive.live.com,None,A
onedrive.live.com,None,A
onedrive.live.com,None,HTTPS
onedrive.live.com,None,A
onedrive.live.com,ns1.spov-msedge.net,HTTPS
onedrive.live.com,ns1.spov-msedge.net,HTTPS
onedrive.live.com,ns1.spov-msedge.net,HTTPS
onedrive.live.com,ns1.spov-msedge.net,HTTPS
onedrive.live.com,None,A
onedrive.live.com,None,HTTPS
onedrive.live.com,None,A
onedrive.live.com,ns1.spov-msedge.net,HTTPS
onedrive.live.com,ns1.spov-msedge.net,HTTPS
odwebpl.trafficmanager.net.dual-spov-0006.spov-msedge.net,None,HTTPS
odwebpl.trafficmanager.net.dual-spov-0006.spov-msedge.net,ns1.spov-msedge.net,HTTPS
dual-spov-0006.spov-msedge.net,None,HTTPS
dual-spov-0006.spov-msedge.net,ns1.spov-msedge.net,HTTPS
dual-spov-0006.spov-msedge.net,None,HTTPS
dual-spov-0006.spov-msedge.net,ns1.spov-msedge.net,HTTPS
dual-spov-0006.spov-msedge.net,None,HTTPS
dual-spov-0006.spov-msedge.net,ns1.spov-msedge.net,HTTPS
dual-spov-0006.spov-msedge.net,None,HTTPS
dual-spov-0006.spov-msedge.net,ns1.spov-msedge.net,HTTPS
