DNS Request,Name Server,Query Type
clientservices.googleapis.com,None,AAAA
clientservices.googleapis.com,None,A
clientservices.googleapis.com,None,HTTPS
clientservices.googleapis.com,None,AAAA
clientservices.googleapis.com,None,A
clientservices.googleapis.com,None,HTTPS
clientservices.googleapis.com,None,A
clientservices.googleapis.com,None,A
clientservices.googleapis.com,ns1.google.com,HTTPS
clientservices.googleapis.com,ns1.google.com,HTTPS
clientservices.googleapis.com,ns1.google.com,HTTPS
accounts.google.com,None,AAAA
accounts.google.com,None,AAAA
accounts.google.com,None,A
accounts.google.com,None,A
accounts.google.com,None,HTTPS
accounts.google.com,None,HTTPS
accounts.google.com,None,AAAA
accounts.google.com,None,AAAA
accounts.google.com,ns1.google.com,HTTPS
accounts.google.com,ns1.google.com,HTTPS
onedrive.live.com,None,AAAA
onedrive.live.com,None,AAAA
onedrive.live.com,None,A
onedrive.live.com,None,A
onedrive.live.com,None,HTTPS
onedrive.live.com,None,HTTPS
onedrive.live.com,ns1.spov-msedge.net,AAAA
onedrive.live.com,None,A
onedrive.live.com,ns1.spov-msedge.net,HTTPS
onedrive.live.com,None,A
onedrive.live.com,ns1.spov-msedge.net,AAAA
onedrive.live.com,ns1.spov-msedge.net,HTTPS
onedrive.live.com,ns1.spov-msedge.net,HTTPS
dual-spov-0006.spov-msedge.net,None,AAAA
dual-spov-0006.spov-msedge.net,None,HTTPS
dual-spov-0006.spov-msedge.net,None,AAAA
dual-spov-0006.spov-msedge.net,ns1.spov-msedge.net,HTTPS
res-1.cdn.office.net,None,AAAA
res-1.cdn.office.net,None,A
res-1.cdn.office.net,None,HTTPS
res-1.cdn.office.net,None,AAAA
res-1.cdn.office.net,None,A
res-1.cdn.office.net,None,HTTPS
res-1.cdn.office.net,n0dscd.akamaiedge.net,HTTPS
res-1.cdn.office.net,None,AAAA
res-1.cdn.office.net,None,A
res-1.cdn.office.net,None,AAAA
res-1.cdn.office.net,None,A
res-1.cdn.office.net,n0dscd.akamaiedge.net,HTTPS
res-1.cdn.office.net,n0dscd.akamaiedge.net,HTTPS
translate.googleapis.com,None,AAAA
translate.googleapis.com,None,A
translate.googleapis.com,None,HTTPS
translate.googleapis.com,None,AAAA
translate.googleapis.com,None,A
translate.googleapis.com,None,HTTPS
translate.googleapis.com,ns1.google.com,HTTPS
translate.googleapis.com,ns1.google.com,HTTPS
translate.googleapis.com,ns1.google.com,HTTPS
spo.nel.measure.office.net,None,AAAA
spo.nel.measure.office.net,None,A
spo.nel.measure.office.net,None,HTTPS
spo.nel.measure.office.net,None,AAAA
spo.nel.measure.office.net,None,A
spo.nel.measure.office.net,None,HTTPS
spo.nel.measure.office.net,None,A
spo.nel.measure.office.net,None,AAAA
spo.nel.measure.office.net,n0dscb.akamai.net,HTTPS
spo.nel.measure.office.net,None,A
spo.nel.measure.office.net,None,AAAA
spo.nel.measure.office.net,n0dscb.akamai.net,HTTPS
spo.nel.measure.office.net,n0dscb.akamai.net,HTTPS
e40491.dscd.akamaiedge.net,None,HTTPS
e40491.dscd.akamaiedge.net,n0dscd.akamaiedge.net,HTTPS
a1894.dscb.akamai.net,None,HTTPS
a1894.dscb.akamai.net,n0dscb.akamai.net,HTTPS
api.onedrive.com,None,AAAA
api.onedrive.com,None,A
api.onedrive.com,None,HTTPS
api.onedrive.com,None,AAAA
api.onedrive.com,None,A
api.onedrive.com,None,HTTPS
api.onedrive.com,ns1.l-msedge.net,HTTPS
api.onedrive.com,ns1.l-msedge.net,AAAA
api.onedrive.com,None,A
api.onedrive.com,None,A
api.onedrive.com,ns1.l-msedge.net,AAAA
api.onedrive.com,ns1.l-msedge.net,HTTPS
l-0003.l-msedge.net,None,AAAA
l-0003.l-msedge.net,None,HTTPS
l-0003.l-msedge.net,None,AAAA
l-0003.l-msedge.net,ns1.l-msedge.net,HTTPS
login.live.com,None,AAAA
login.live.com,None,A
login.live.com,internal.akadns.net,A
login.live.com,None,HTTPS
login.live.com,internal.akadns.net,HTTPS
login.live.com,internal.akadns.net,AAAA
www.tm.v4.a.prd.aadg.trafficmanager.net,None,AAAA
www.tm.v4.a.prd.aadg.trafficmanager.net,None,HTTPS
www.tm.v4.a.prd.aadg.trafficmanager.net,tm1.dns-tm.com,HTTPS
www.tm.v4.a.prd.aadg.trafficmanager.net,tm1.dns-tm.com,AAAA
safebrowsing.googleapis.com,None,AAAA
safebrowsing.googleapis.com,None,AAAA
safebrowsing.googleapis.com,None,A
safebrowsing.googleapis.com,None,A
safebrowsing.googleapis.com,None,HTTPS
safebrowsing.googleapis.com,None,HTTPS
safebrowsing.googleapis.com,None,AAAA
safebrowsing.googleapis.com,ns1.google.com,HTTPS
safebrowsing.googleapis.com,None,AAAA
safebrowsing.googleapis.com,ns1.google.com,HTTPS
skyapi.onedrive.live.com,None,AAAA
skyapi.onedrive.live.com,None,A
skyapi.onedrive.live.com,None,HTTPS
skyapi.onedrive.live.com,None,AAAA
skyapi.onedrive.live.com,None,A
skyapi.onedrive.live.com,None,HTTPS
skyapi.onedrive.live.com,internal.akadns.net,HTTPS
skyapi.onedrive.live.com,internal.akadns.net,AAAA
skyapi.onedrive.live.com,None,A
skyapi.onedrive.live.com,None,A
skyapi.onedrive.live.com,internal.akadns.net,AAAA
skyapi.onedrive.live.com,internal.akadns.net,HTTPS
skyapi.onedrive.live.com,internal.akadns.net,HTTPS
common-geo.onedrive.trafficmanager.net,None,HTTPS
common-geo.onedrive.trafficmanager.net,ns1-34.azure-dns.com,HTTPS
common-emea.onedrive.akadns.net,None,AAAA
common-emea.onedrive.akadns.net,None,AAAA
i-db3p-cor004.api.p001.1drv.com,None,HTTPS
i-db3p-cor004.api.p001.1drv.com,ns1-34.azure-dns.com,HTTPS
ecs.office.com,None,AAAA
ecs.office.com,None,AAAA
ecs.office.com,None,A
ecs.office.com,None,A
ecs.office.com,None,HTTPS
ecs.office.com,None,HTTPS
ecs.office.com,None,A
ecs.office.com,None,A
ecs.office.com,ns1.s-msedge.net,HTTPS
ecs.office.com,None,AAAA
ecs.office.com,None,AAAA
ecs.office.com,ns1.s-msedge.net,HTTPS
ecs.office.com,ns1.s-msedge.net,HTTPS
s-0005.s-msedge.net,None,HTTPS
s-0005.s-msedge.net,ns1.s-msedge.net,HTTPS
storage.live.com,None,AAAA
storage.live.com,None,A
storage.live.com,None,HTTPS
storage.live.com,None,AAAA
storage.live.com,None,A
storage.live.com,None,HTTPS
storage.live.com,ns1-34.azure-dns.com,HTTPS
storage.live.com,internal.akadns.net,AAAA
storage.live.com,None,A
storage.live.com,None,A
storage.live.com,internal.akadns.net,AAAA
storage.live.com,ns1-34.azure-dns.com,HTTPS
res.cdn.office.net,None,AAAA
res.cdn.office.net,None,A
res.cdn.office.net,None,HTTPS
res.cdn.office.net,None,AAAA
res.cdn.office.net,None,A
res.cdn.office.net,None,HTTPS
res.cdn.office.net,ns1.sigmacdn.net,HTTPS
res.cdn.office.net,None,AAAA
res.cdn.office.net,None,A
res.cdn.office.net,None,A
res.cdn.office.net,None,AAAA
res.cdn.office.net,ns1.sigmacdn.net,HTTPS
res.cdn.office.net,ns1.sigmacdn.net,HTTPS
i-am3p-cor002.api.p001.1drv.com,None,HTTPS
i-am3p-cor002.api.p001.1drv.com,None,AAAA
i-am3p-cor002.api.p001.1drv.com,ns1-34.azure-dns.com,AAAA
i-am3p-cor002.api.p001.1drv.com,ns1-34.azure-dns.com,HTTPS
sni1gl.wpc.sigmacdn.net,None,HTTPS
sni1gl.wpc.sigmacdn.net,ns1.sigmacdn.net,HTTPS
config.edge.skype.com,None,AAAA
config.edge.skype.com,None,A
config.edge.skype.com,None,HTTPS
config.edge.skype.com,None,AAAA
config.edge.skype.com,None,A
config.edge.skype.com,None,HTTPS
config.edge.skype.com,None,A
config.edge.skype.com,None,AAAA
config.edge.skype.com,ns1.l-msedge.net,HTTPS
config.edge.skype.com,None,A
config.edge.skype.com,None,AAAA
config.edge.skype.com,ns1.l-msedge.net,HTTPS
config.edge.skype.com,ns1.l-msedge.net,HTTPS
l-0007.l-msedge.net,None,HTTPS
l-0007.l-msedge.net,ns1.l-msedge.net,HTTPS
login.microsoftonline.com,None,AAAA
login.microsoftonline.com,None,A
login.microsoftonline.com,None,HTTPS
login.microsoftonline.com,internal.akadns.net,AAAA
login.microsoftonline.com,internal.akadns.net,A
login.microsoftonline.com,internal.akadns.net,HTTPS
login.microsoftonline.com,internal.akadns.net,HTTPS
www.tm.ak.prd.aadg.akadns.net,None,HTTPS
www.tm.ak.prd.aadg.akadns.net,internal.akadns.net,HTTPS
southcentralus1-0.pushnp.svc.ms,None,AAAA
southcentralus1-0.pushnp.svc.ms,None,A
southcentralus1-0.pushnp.svc.ms,None,HTTPS
southcentralus1-0.pushnp.svc.ms,None,AAAA
southcentralus1-0.pushnp.svc.ms,None,A
southcentralus1-0.pushnp.svc.ms,None,HTTPS
southcentralus1-0.pushnp.svc.ms,None,A
southcentralus1-0.pushnp.svc.ms,None,A
southcentralus1-0.pushnp.svc.ms,None,AAAA
southcentralus1-0.pushnp.svc.ms,tm1.dns-tm.com,HTTPS
southcentralus1-0.pushnp.svc.ms,None,AAAA
southcentralus1-0.pushnp.svc.ms,tm1.dns-tm.com,HTTPS
southcentralus1-0.pushnp.svc.ms,tm1.dns-tm.com,HTTPS
southcentralus1-0-pushnp.trafficmanager.net,None,HTTPS
southcentralus1-0-pushnp.trafficmanager.net,tm1.dns-tm.com,HTTPS
browser.pipe.aria.microsoft.com,None,AAAA
browser.pipe.aria.microsoft.com,None,A
browser.pipe.aria.microsoft.com,None,HTTPS
browser.pipe.aria.microsoft.com,None,AAAA
browser.pipe.aria.microsoft.com,None,A
browser.pipe.aria.microsoft.com,None,HTTPS
browser.pipe.aria.microsoft.com,ns1-01.azure-dns.com,HTTPS
browser.pipe.aria.microsoft.com,None,A
browser.pipe.aria.microsoft.com,ns1-201.azure-dns.com,AAAA
browser.pipe.aria.microsoft.com,None,A
browser.pipe.aria.microsoft.com,ns1-201.azure-dns.com,AAAA
browser.pipe.aria.microsoft.com,ns1-01.azure-dns.com,HTTPS
onedscolprdjpw02.japanwest.cloudapp.azure.com,None,HTTPS
onedscolprdjpw02.japanwest.cloudapp.azure.com,ns1-01.azure-dns.com,HTTPS
onedscolprdjpw02.japanwest.cloudapp.azure.com,None,AAAA
onedscolprdjpw02.japanwest.cloudapp.azure.com,None,AAAA
onedscolprduks02.uksouth.cloudapp.azure.com,None,AAAA
onedscolprduks02.uksouth.cloudapp.azure.com,None,AAAA
onedscolprduks02.uksouth.cloudapp.azure.com,None,HTTPS
onedscolprduks02.uksouth.cloudapp.azure.com,ns1-01.azure-dns.com,HTTPS
browser.events.data.microsoft.com,None,AAAA
browser.events.data.microsoft.com,None,A
browser.events.data.microsoft.com,None,HTTPS
browser.events.data.microsoft.com,None,AAAA
browser.events.data.microsoft.com,None,A
browser.events.data.microsoft.com,None,HTTPS
browser.events.data.microsoft.com,ns1-01.azure-dns.com,AAAA
browser.events.data.microsoft.com,ns1-08.azure-dns.com,HTTPS
browser.events.data.microsoft.com,None,A
browser.events.data.microsoft.com,None,A
browser.events.data.microsoft.com,ns1-01.azure-dns.com,AAAA
browser.events.data.microsoft.com,ns1-08.azure-dns.com,HTTPS
www.google.com,None,AAAA
www.google.com,None,A
www.google.com,None,HTTPS
www.google.com,None,AAAA
www.google.com,None,A
www.google.com,None,HTTPS
www.google.com,None,A
www.google.com,None,A
update.googleapis.com,None,AAAA
update.googleapis.com,None,A
update.googleapis.com,None,HTTPS
update.googleapis.com,None,AAAA
update.googleapis.com,None,A
update.googleapis.com,None,HTTPS
update.googleapis.com,None,A
update.googleapis.com,ns1.google.com,HTTPS
update.googleapis.com,ns1.google.com,HTTPS
update.googleapis.com,None,A
optimizationguide-pa.googleapis.com,None,AAAA
optimizationguide-pa.googleapis.com,None,A
optimizationguide-pa.googleapis.com,None,HTTPS
optimizationguide-pa.googleapis.com,None,AAAA
optimizationguide-pa.googleapis.com,None,A
optimizationguide-pa.googleapis.com,None,HTTPS
optimizationguide-pa.googleapis.com,ns1.google.com,HTTPS
optimizationguide-pa.googleapis.com,ns1.google.com,HTTPS
optimizationguide-pa.googleapis.com,ns1.google.com,HTTPS
