Domain Name,Source Port,Destination IP
onedrive.live.com,33986,13.107.139.11
contile.services.mozilla.com,38646,34.117.237.239
push.services.mozilla.com,59260,34.107.243.93
incoming.telemetry.mozilla.org,34072,34.120.208.123
profile.accounts.firefox.com,39052,34.110.207.168
sync-1-us-west1-g.sync.services.mozilla.com,41368,35.186.227.140
api.onedrive.com,33026,13.107.42.12
res-1.cdn.office.net,60398,2a02:a000:1:213::51f3:1ab
darkreader.org,33054,185.199.111.153
api.dashlane.com,54158,104.18.22.112
login.live.com,44400,20.190.177.23
cdn.ghostery.com,42442,2400:52e0:1e00::723:1
ws1.dashlane.com,36290,104.18.23.112
safe-browsing-quorum.privacy.ghostery.net,56336,52.2.175.33
collector-hpn.ghostery.net,58422,52.200.141.144
safebrowsing.googleapis.com,52430,2a00:1450:400e:810::200a
p.sfx.ms,40536,51.105.104.217
shellprod.msocdn.com,51350,2a02:a000:1:381::38f3
static2.sharepointonline.com,55072,2a02:a000:1:38d::33e7
static.dashlane.com,60806,18.239.208.80
ecs.office.com,40954,2620:1ec:42::132
res.cdn.office.net,50408,2606:2800:233:1cb7:261b:1f9c:2074:3c
amcdn.msftauth.net,50504,2620:1ec:bdf::67
storage.live.com,56564,40.90.128.17
skyapi.onedrive.live.com,45312,20.135.21.21
js.monitor.azure.com,50512,2620:1ec:bdf::67
content.lifecycle.office.net,58390,2620:1ec:21::16
config.edge.skype.com,58394,2620:1ec:21::16
southcentralus1-0.pushnp.svc.ms,43690,2603:1036:2407:1::d
browser.events.data.microsoft.com,34530,52.182.143.213
browser.pipe.aria.microsoft.com,34534,52.182.143.213
vscode-sync.trafficmanager.net,47594,13.69.68.64
