Domain Name,Source Port,Destination IP
speeddials.opera.com,59158,2001:4c28:4000:722:185:26:182:111
autoupdate.geo.opera.com,48704,185.26.182.123
onedrive.live.com,46870,13.107.139.11
sitecheck.opera.com,58298,2001:4c28:1:430:82:145:216:15
sd-images.operacdn.com,47338,81.243.1.161
www.vandenborre.be,36746,212.123.20.125
sd-suggestions.operacdn.com,42676,2a02:a000:1:213::51f3:1aa
res-1.cdn.office.net,36140,2a02:a000:1:213::51f3:1e2
api.onedrive.com,58834,13.107.42.12
weather.opera-api2.com,53094,2001:4c28:4000:722:185:26:182:106
skyapi.onedrive.live.com,55370,13.104.208.160
content.lifecycle.office.net,56674,2620:1ec:21::16
ecs.office.com,35218,2620:1ec:42::132
config.edge.skype.com,56678,2620:1ec:21::16
storage.live.com,43736,40.90.128.17
southcentralus1-0.pushnp.svc.ms,43368,2603:1036:2407:1::d
res.cdn.office.net,45824,2a02:a000:1:213::51f3:199
af.opera.com,47392,2001:4c28:1:430:82:145:216:16
mtalk.google.com,41636,2a00:1450:4025:401::bc
extension-updates.opera.com,34136,185.26.182.93
download3.operacdn.com,42684,2a02:a000:1:213::51f3:1aa
browser.pipe.aria.microsoft.com,45444,20.42.65.88
browser.events.data.microsoft.com,45472,20.42.65.88
www.microsoft.com,52820,2a02:a000:1:3b7::356e
play.vidyard.com,38636,151.101.9.181
fpt.microsoft.com,44076,52.167.30.171
login.live.com,36776,20.190.181.23
logincdn.msauth.net,44208,2620:1ec:46::67
acctcdn.msauth.net,49994,2620:1ec:bdf::67
acctcdn.msftauth.net,58020,2606:2800:233:1cb7:261b:1f9c:2074:3c
mem.gfx.ms,50004,2620:1ec:bdf::67
exchange.opera.com,51794,185.26.182.106
features.opera-api2.com,60812,2001:4c28:1:430:82:145:216:15
