Domain Name,Source Port,Destination IP
downloads.vivaldi.com,47674,2a04:4e42:2::649
redirector.gvt1.com,48068,2a00:1450:400e:805::200e
mimir2.vivaldi.com,45802,31.209.137.46
r1---sn-cxab5jvh-cg0es.gvt1.com,42178,2a02:a000:1:206::c
vivaldi.com,43346,2606:4700:10::ac43:15e3
onedrive.live.com,48858,13.107.139.11
www.microsoft.com,49194,2a02:a000:1:394::356e
update.vivaldi.com,51128,31.209.137.5
query.prod.cms.rt.microsoft.com,39046,2a02:a000:1:398::2b3e
img-prod-cms-rt-microsoft-com.akamaized.net,38170,2a02:a000:1:213::51f3:180
wcpstatic.microsoft.com,41030,2620:1ec:46::67
cdn-dynmedia-1.microsoft.com,60748,2a02:a000:1:213::51f3:1f9
play.vidyard.com,52414,151.101.9.181
mem.gfx.ms,50446,2620:1ec:bdf::67
c.s-microsoft.com,49206,2a02:a000:1:394::356e
js.monitor.azure.com,41046,2620:1ec:46::67
assets.adobedtm.com,37990,2a02:a000:1:390::1e80
s7d2.scene7.com,58330,2a02:a000:1:389::9b6
fpt.microsoft.com,42822,52.167.30.171
login.live.com,43200,20.190.177.148
browser.events.data.microsoft.com,57888,20.42.65.90
acctcdn.msauth.net,41048,2620:1ec:46::67
acctcdn.msftauth.net,51924,2606:2800:233:1cb7:261b:1f9c:2074:3c
logincdn.msauth.net,50444,2620:1ec:bdf::67
