Domain Name,Source Port,Destination IP
onedrive.live.com,37116,13.107.139.11
clientservices.googleapis.com,60590,2a00:1450:400e:805::2003
res-1.cdn.office.net,35828,2a02:a000:1:213::51f3:1e2
spo.nel.measure.office.net,48406,2a02:a000:1:213::51f3:158
login.live.com,58610,20.190.177.21
shellprod.msocdn.com,33882,2a02:a000:1:381::38f3
safebrowsing.googleapis.com,46546,2a00:1450:400e:810::200a
translate.googleapis.com,35024,2a00:1450:400e:802::200a
api.onedrive.com,41612,13.107.42.12
ecs.office.com,41656,2620:1ec:42::132
res.cdn.office.net,38640,2606:2800:233:1cb7:261b:1f9c:2074:3c
amcdn.msftauth.net,50834,2620:1ec:46::67
storage.live.com,34168,20.135.25.0
js.monitor.azure.com,33510,2620:1ec:bdf::67
skyapi.onedrive.live.com,55098,13.104.208.165
content.lifecycle.office.net,43134,2620:1ec:21::16
config.edge.skype.com,51712,2620:1ec:21::16
browser.pipe.aria.microsoft.com,57470,20.50.201.204
southcentralus1-0.pushnp.svc.ms,54780,2603:1036:2407:1::d
browser.events.data.microsoft.com,33254,52.182.143.213
common.online.office.com,48774,2603:1063:2000:1::12
word-edit.officeapps.live.com,48782,2603:1063:2000:1::12
euc-word-telemetry.officeapps.live.com,53524,2603:1063:2206:24::49
officeclient.microsoft.com,38300,2603:1026:2407::5
uci.cdn.office.net,41850,2a02:a000:1:382::52c
owl.officeapps.live.com,39796,2603:1063:2000::12
augloop.office.com,32990,2603:1026:2405:1::7
collabrtc.officeapps.live.com,49484,2620:1ec:a92::171
augmentation.osi.office.net,45530,2a01:111:f100:9001::1761:9071
peu2-collabhubrtc.officeapps.live.com,35768,2603:1063:2206:24::4a
admin.microsoft.com,57258,2620:1ec:a92::156
login.microsoftonline.com,56076,2603:1027:1:28::7
appsforoffice.microsoft.com,57838,2.17.185.69
mrodevicemgr.officeapps.live.com,41812,2603:1036:2403::
nleditor.osi.office.net,44098,2603:1026:2404:1::1b
eu-office.events.data.microsoft.com,39546,51.11.192.49
euc-common.online.office.com,39806,2603:1063:2000::12
attributes.engagement.office.com,35690,52.111.243.12
loki.delve.office.com,34200,2603:1026:2405:1::1a
eur.loki.delve.office.com,34210,2603:1026:2405:1::1a
eu-mobile.events.data.microsoft.com,54412,40.79.141.152
