Domain Name,Source Port,Destination IP
clientservices.googleapis.com,53382,142.250.179.163
onedrive.live.com,34560,13.107.137.11
res-1.cdn.office.net,50904,81.243.1.161
login.live.com,57390,40.126.53.16
shellprod.msocdn.com,35494,95.101.47.88
spo.nel.measure.office.net,42256,81.242.3.123
ecs.office.com,52924,52.113.194.132
res.cdn.office.net,55040,81.243.1.171
storage.live.com,52690,20.135.20.1
js.monitor.azure.com,43238,13.107.213.67
api.onedrive.com,44504,13.107.42.12
skyapi.onedrive.live.com,59290,20.135.20.1
content.lifecycle.office.net,57558,13.107.42.16
config.edge.skype.com,52184,13.107.42.16
browser.pipe.aria.microsoft.com,40400,20.42.73.24
southcentralus1-0.pushnp.svc.ms,55106,52.111.239.33
optimizationguide-pa.googleapis.com,56772,142.251.36.10
browser.events.data.microsoft.com,39634,20.189.173.14
translate.googleapis.com,44664,142.250.179.202
wise-m.public.cdn.office.net,53958,81.243.1.226
common.online.office.com,51574,52.108.8.12
word-edit.officeapps.live.com,34432,52.108.9.12
euc-word-telemetry.officeapps.live.com,58734,52.108.240.24
officeclient.microsoft.com,56084,52.109.32.97
collabrtc.officeapps.live.com,38166,13.107.6.171
eu-office.events.data.microsoft.com,33322,20.50.80.214
uci.cdn.office.net,42634,23.201.208.81
peu2-collabhubrtc.officeapps.live.com,33318,52.108.56.17
augloop.office.com,50232,52.111.243.13
admin.microsoft.com,51446,13.107.6.156
augmentation.osi.office.net,35762,13.94.214.133
mrodevicemgr.officeapps.live.com,46812,52.109.89.117
appsforoffice.microsoft.com,38038,23.206.64.203
nleditor.osi.office.net,43522,52.109.32.47
login.microsoftonline.com,37740,20.190.181.4
attributes.engagement.office.com,34040,52.111.231.8
euc-common.online.office.com,41350,52.108.9.12
loki.delve.office.com,48574,52.111.243.6
eu-mobile.events.data.microsoft.com,52074,13.69.116.107
eur.loki.delve.office.com,48588,52.111.243.6
