Domain Name,Source Port,Destination IP
onedrive.live.com,36346,13.107.139.11
accounts.google.com,39210,2a00:1450:4025:401::54
clientservices.googleapis.com,49436,2a00:1450:400e:811::2003
spo.nel.measure.office.net,42774,2a02:a000:1:213::51f3:158
res-1.cdn.office.net,52614,2a02:26f0:fe00::686e:f089
api.onedrive.com,48264,13.107.42.12
login.live.com,56006,20.190.181.6
shellprod.msocdn.com,52774,2a02:a000:1:381::38f3
skyapi.onedrive.live.com,36218,20.135.21.21
safebrowsing.googleapis.com,50354,2a00:1450:400e:802::200a
ecs.office.com,32976,2620:1ec:42::132
res.cdn.office.net,59662,2a02:26f0:fe00::686e:f071
storage.live.com,37256,13.104.208.165
content.lifecycle.office.net,48532,2620:1ec:21::16
southcentralus1-0.pushnp.svc.ms,47860,2603:1036:2407:1::d
config.edge.skype.com,48540,2620:1ec:21::16
browser.events.data.microsoft.com,53536,52.168.117.168
browser.pipe.aria.microsoft.com,55274,51.104.15.253
word-edit.officeapps.live.com,60950,2603:1063:2000:1::12
common.online.office.com,60932,2603:1063:2000:1::12
euc-word-telemetry.officeapps.live.com,45342,2603:1063:2206:14::45
officeclient.microsoft.com,59592,2603:1026:2406::3
fs-edog.microsoft.com,59128,23.61.4.129
update.googleapis.com,37638,2a00:1450:400e:80c::2003
uci.cdn.office.net,55920,2a02:a000:1:39e::52c
augloop.office.com,54508,2603:1026:2405:1::4
collabrtc.officeapps.live.com,34086,2620:1ec:a92::171
augmentation.osi.office.net,43878,2a01:111:f100:9001::1761:9071
admin.microsoft.com,50664,2620:1ec:a92::156
peu2-collabhubrtc.officeapps.live.com,33026,2603:1063:2206:24::4a
optimizationguide-pa.googleapis.com,38150,2a00:1450:400e:800::200a
mrodevicemgr.officeapps.live.com,47542,2603:1036:2403::
nleditor.osi.office.net,45476,2603:1026:2407::18
login.microsoftonline.com,35854,2603:1026:3000:108::3
eu-office.events.data.microsoft.com,57042,52.178.17.2
euc-common.online.office.com,50418,2603:1063:2000::12
attributes.engagement.office.com,38600,52.111.231.8
