Domain Name,Source Port,Destination IP
clientservices.googleapis.com,43276,2a00:1450:400e:810::2003
onedrive.live.com,57966,13.107.137.11
accounts.google.com,47610,2a00:1450:400c:c07::54
res-1.cdn.office.net,42012,2a02:a000:1:213::51f3:1e2
spo.nel.measure.office.net,56586,2a02:a000:1:213::51f3:158
api.onedrive.com,35662,13.107.42.12
login.live.com,54660,40.126.53.19
safebrowsing.googleapis.com,46262,2a00:1450:400e:811::200a
translate.googleapis.com,33728,2a00:1450:400e:80f::200a
skyapi.onedrive.live.com,54546,40.90.136.179
ecs.office.com,58780,2620:1ec:42::132
content.lifecycle.office.net,53526,2620:1ec:21::16
storage.live.com,49414,13.105.66.144
config.edge.skype.com,53536,2620:1ec:21::16
southcentralus1-0.pushnp.svc.ms,40656,2603:1036:2407:1::d
res.cdn.office.net,34238,2606:2800:233:1cb7:261b:1f9c:2074:3c
browser.pipe.aria.microsoft.com,34516,20.189.173.8
browser.events.data.microsoft.com,57536,20.50.80.214
update.googleapis.com,44356,2a00:1450:400e:803::2003
static2.sharepointonline.com,55904,2a02:a000:1:38d::33e7
wise-m.public.cdn.office.net,42276,2a02:a000:1:213::51f3:1ab
common.online.office.com,45364,2603:1063:2000:1::12
word-edit.officeapps.live.com,45380,2603:1063:2000:1::12
euc-word-telemetry.officeapps.live.com,56294,2603:1063:2206:24::49
officeclient.microsoft.com,50848,2603:1026:2406::3
optimizationguide-pa.googleapis.com,33744,2a00:1450:400e:80f::200a
eu-office.events.data.microsoft.com,36680,20.50.80.209
augmentation.osi.office.net,37198,2a01:111:f100:9001::1761:9071
collabrtc.officeapps.live.com,46122,2620:1ec:a92::171
augloop.office.com,48476,2603:1026:2405:1::6
peu2-collabhubrtc.officeapps.live.com,45380,2603:1063:2206:24::4a
admin.microsoft.com,56096,2620:1ec:a92::156
login.microsoftonline.com,42308,2603:1027:1:28::a
nleditor.osi.office.net,59980,2603:1026:2400:1::11
mrodevicemgr.officeapps.live.com,58456,2603:1036:2403::
euc-common.online.office.com,49104,2603:1063:2000:1::12
attributes.engagement.office.com,58516,52.111.231.8
